count,count,count,count
" 1,566,400,447 "," 126,088,234 "," 108,365,250 "," 401,418,000 "
,8.0%,,
,,,
count,count,count,count
" 5,638,061 "," 2,928,789 ", 723 ," 2,928,789 "
